rank,job_title,category,match_score_pct,cosine_similarity,euclidean_distance,required_skills
1,Data Scientist,Data Science,72.1,0.0759,1.3595,python; pandas; numpy; machine learning; tensorflow; statistics; sql; data visualization; scikit-learn; deep learning
2,Machine Learning Engineer,AI / ML,57.2,0.0876,1.3509,python; machine learning; tensorflow; pytorch; deep learning; docker; aws; numpy; pandas
3,NLP Engineer,AI / ML,51.5,0.0405,1.3853,python; natural language processing; machine learning; deep learning; flask; tensorflow
4,Frontend Developer,Web Development,49.7,0.0495,1.3788,javascript; react; html; css; typescript; rest api; git; agile
5,Python Developer,Software Engineering,48.7,0.041,1.3849,python; django; flask; rest api; mysql; git; agile; sql
6,Full Stack Developer,Web Development,48.4,0.0533,1.376,javascript; react; node.js; python; mongodb; html; css; git; docker; rest api
7,AI Research Scientist,AI / ML,48.3,0.038,1.3871,python; pytorch; tensorflow; deep learning; machine learning; natural language processing; computer vision; statistics
8,Backend Developer,Software Engineering,40.2,0.0437,1.383,python; java; node.js; rest api; mongodb; postgresql; docker; microservices
9,Data Analyst,Data Science,38.4,0.028,1.3943,sql; excel; python; tableau; pandas; data visualization; statistics; communication
10,Mobile App Developer,Mobile Development,37.7,0.0223,1.3984,swift; kotlin; react; javascript; rest api; git
11,Database Administrator,Database,32.7,0.0221,1.3985,mysql; postgresql; oracle; sql; mongodb; redis; linux
12,Cybersecurity Analyst,Security,23.3,0.0,1.4142,linux; python; networking; sql; communication; problem solving
13,Project Manager (Tech),Management,20.1,0.0216,1.3989,project management; agile; scrum; jira; leadership; communication; teamwork; presentation
14,DevOps Engineer,Cloud & DevOps,9.8,0.0168,1.4023,docker; kubernetes; aws; linux; ci/cd; terraform; jenkins; python; bash
15,Cloud Architect,Cloud & DevOps,1.5,0.0122,1.4055,aws; azure; gcp; kubernetes; docker; microservices; serverless; terraform
